Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD-1001,2024-01-15,Acme Corp,MacBook Pro 16,Technology,North,2,4800.00,0.05,1250.00
ORD-1002,2024-01-18,Apex Systems,Ergonomic Chair,Furniture,West,5,1750.00,0.10,380.00
ORD-1003,2024-01-22,Global Tech,Wireless Mouse,Electronics,East,12,360.00,0.00,110.00
ORD-1004,2024-01-28,Nexus Labs,Standing Desk,Furniture,North,3,2100.00,0.15,420.00
ORD-1005,2024-02-03,Starlight Media,Dell UltraSharp 32,Technology,South,4,3200.00,0.08,820.00
ORD-1006,2024-02-09,Innovate Inc,Mechanical Keyboard,Electronics,Central,8,960.00,0.05,280.00
ORD-1007,2024-02-14,Quantum Dynamics,Gel Ink Pens 20pk,Office Supplies,North,25,250.00,0.00,75.00
ORD-1008,2024-02-21,Vertex Global,AirPods Pro 2,Electronics,East,6,1494.00,0.05,390.00
ORD-1009,2024-03-02,BlueWave Energy,Executive Leather Sofa,Furniture,South,2,3800.00,0.12,650.00
ORD-1010,2024-03-08,Aura Retail,LaserJet Pro Printer,Technology,West,3,1650.00,0.10,310.00
ORD-1011,2024-03-15,Zenith Logistics,Smart Watch Ultra,Electronics,Central,5,1995.00,0.05,520.00
ORD-1012,2024-03-24,Pulse Health,Heavy Duty Stapler,Office Supplies,North,15,375.00,0.00,120.00
ORD-1013,2024-04-05,CyberCloud LLC,ThinkPad X1 Carbon,Technology,East,4,6400.00,0.05,1680.00
ORD-1014,2024-04-12,Horizon Ventures,Mesh Task Chair,Furniture,West,8,1920.00,0.10,410.00
ORD-1015,2024-04-19,Acme Corp,4K Conference Webcam,Electronics,North,6,1194.00,0.05,310.00
ORD-1016,2024-04-27,Apex Systems,Steel Filing Cabinet,Furniture,South,4,1400.00,0.15,190.00
ORD-1017,2024-05-04,Global Tech,iPad Air 256GB,Technology,East,5,3745.00,0.05,890.00
ORD-1018,2024-05-11,Nexus Labs,Noise Canceling Headphones,Electronics,North,7,2443.00,0.10,610.00
ORD-1019,2024-05-18,Starlight Media,Sticky Notes Bulk,Office Supplies,Central,30,180.00,0.00,54.00
ORD-1020,2024-05-25,Innovate Inc,Conference Table 10ft,Furniture,North,1,3200.00,0.20,480.00
ORD-1021,2024-06-02,Quantum Dynamics,Server Rack 42U,Technology,West,2,5200.00,0.05,1420.00
ORD-1022,2024-06-09,Vertex Global,USB-C Docking Station,Electronics,East,10,1890.00,0.05,480.00
ORD-1023,2024-06-16,BlueWave Energy,A4 Copy Paper Case,Office Supplies,South,40,960.00,0.05,240.00
ORD-1024,2024-06-23,Aura Retail,MacBook Air 15,Technology,West,3,3897.00,0.05,920.00
ORD-1025,2024-07-03,Zenith Logistics,Dual Monitor Arm,Furniture,Central,6,720.00,0.10,180.00
ORD-1026,2024-07-10,Pulse Health,Bluetooth Speaker Pro,Electronics,North,8,1440.00,0.05,360.00
ORD-1027,2024-07-17,CyberCloud LLC,Presentation Clicker,Office Supplies,East,14,420.00,0.00,140.00
ORD-1028,2024-07-25,Horizon Ventures,Cisco Enterprise Router,Technology,West,2,7600.00,0.08,2150.00
ORD-1029,2024-08-02,Acme Corp,Whiteboard Magnetic 6x4,Furniture,North,4,960.00,0.10,220.00
ORD-1030,2024-08-11,Apex Systems,iPad Pro 13,Technology,West,4,5196.00,0.05,1340.00
ORD-1031,2024-08-18,Global Tech,Wireless Presenter Hub,Electronics,East,7,1050.00,0.05,270.00
ORD-1032,2024-08-27,Nexus Labs,Document Shredder Crosscut,Office Supplies,North,3,750.00,0.10,165.00
